"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",dosis_unica_cantidad,primera_dosis_cantidad,segunda_dosis_cantidad,dosis_adicional_cantidad,dosis_refuerzo_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",0,3648424,4022412,832867,1121166
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",0,251406,382,0,0
"06","Buenos Aires","Cansino Ad5 nCoV",90304,0,7732,1530,110359
"06","Buenos Aires","Moderna 010 mg mL",0,41082,17194,0,90609
"06","Buenos Aires","Moderna ARNm 020 mg mL",0,425942,1262240,3185,4485474
"06","Buenos Aires","Pfizer BioNTech Comirnaty",0,1372713,1449301,77612,5367628
"06","Buenos Aires","Pfizer Pediátrica",0,20382,10149,137997,2
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",0,5954648,5265780,1662,11049
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",0,4315698,2693061,6256,856348
"02","CABA","AstraZeneca ChAdOx1 S recombinante",0,728320,762938,204562,506806
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",0,65723,197,0,0
"02","CABA","Cansino Ad5 nCoV",29923,0,1672,44,51028
"02","CABA","Moderna 010 mg mL",0,12487,5506,0,47160
"02","CABA","Moderna ARNm 020 mg mL",0,36391,279695,1489,2060506
"02","CABA","Pfizer BioNTech Comirnaty",0,193315,219935,62878,1280951
"02","CABA","Pfizer Bivariante BA 4 5",0,0,0,0,23086
"02","CABA","Pfizer Pediátrica",0,2681,1973,1583,86242
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",0,1018903,967191,1664,5359
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",0,896664,627482,231,14054
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",0,86666,86586,18029,59377
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",0,4821,13,0,0
"10","Catamarca","Cansino Ad5 nCoV",2582,0,1036,328,47923
"10","Catamarca","Moderna 010 mg mL",0,4897,2063,0,7177
"10","Catamarca","Moderna ARNm 020 mg mL",0,7718,24245,403,137474
"10","Catamarca","Pfizer BioNTech Comirnaty",0,33569,30751,863,91556
"10","Catamarca","Pfizer Bivariante BA 4 5",0,0,0,0,27
"10","Catamarca","Pfizer Pediátrica",0,38,61,42,14212
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",0,171288,157113,43,599
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",0,96759,73674,1649,29012
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",0,240452,220462,29269,92329
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",0,15548,789,0,0
"22","Chaco","Cansino Ad5 nCoV",11296,0,821,212,21185
"22","Chaco","Moderna 010 mg mL",0,3606,1363,0,9367
"22","Chaco","Moderna ARNm 020 mg mL",0,31594,70023,1400,168889
"22","Chaco","Pfizer BioNTech Comirnaty",0,69136,58285,7795,160110
"22","Chaco","Pfizer Bivariante BA 4 5",0,0,0,0,434
"22","Chaco","Pfizer Pediátrica",0,795,320,248,3961
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",0,391976,312517,445,3445
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",0,258320,181995,4471,54697
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",0,132907,128767,20527,45898
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",0,11934,661,0,0
"26","Chubut","Cansino Ad5 nCoV",3583,0,365,52,5767
"26","Chubut","Moderna 010 mg mL",0,460,156,0,1784
"26","Chubut","Moderna ARNm 020 mg mL",0,21056,34064,1220,89529
"26","Chubut","Pfizer BioNTech Comirnaty",0,33432,40064,4516,146112
"26","Chubut","Pfizer Bivariante BA 4 5",0,0,0,0,220
"26","Chubut","Pfizer Pediátrica",0,471,216,28,2532
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",0,173303,142054,174,936
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",0,136816,100179,905,15185
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",0,194131,185983,17688,161249
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",0,19892,492,0,0
"18","Corrientes","Cansino Ad5 nCoV",11267,0,286,71,40675
"18","Corrientes","Moderna 010 mg mL",0,8970,2866,0,13834
"18","Corrientes","Moderna ARNm 020 mg mL",0,28265,63208,393,314718
"18","Corrientes","Pfizer BioNTech Comirnaty",0,83323,81351,1794,272838
"18","Corrientes","Pfizer Bivariante BA 4 5",0,0,0,0,770
"18","Corrientes","Pfizer Pediátrica",0,332,239,262,40970
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",0,428908,369443,66,2508
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",0,268505,194829,16,48851
"14","Córdoba","AstraZeneca ChAdOx1 S recombinante",0,812199,827879,185726,658964
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",0,44225,129,0,0
"14","Córdoba","Cansino Ad5 nCoV",38374,0,5737,33,11367
"14","Córdoba","Moderna 010 mg mL",0,6313,2506,0,28904
"14","Córdoba","Moderna ARNm 020 mg mL",0,50428,269845,249,933056
"14","Córdoba","Pfizer BioNTech Comirnaty",0,284979,259537,17417,727860
"14","Córdoba","Pfizer Bivariante BA 4 5",0,0,0,0,1027
"14","Córdoba","Pfizer Pediátrica",0,1741,1077,210,23931
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",0,1262469,1149044,524,8974
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",0,944735,631244,4105,99710
"30","Entre Ríos","AstraZeneca ChAdOx1 S recombinante",0,292108,287565,72090,179303
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",0,17389,375,0,0
