"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",dosis_unica_cantidad,primera_dosis_cantidad,segunda_dosis_cantidad,dosis_adicional_cantidad,dosis_refuerzo_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",0,3648650,4022676,832866,1121857
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",0,251417,383,0,0
"06","Buenos Aires","Cansino Ad5 nCoV",90330,0,7732,1632,110488
"06","Buenos Aires","Moderna 010 mg mL",0,49411,27836,0,161990
"06","Buenos Aires","Moderna ARNm 020 mg mL",0,426856,1263796,3185,4546757
"06","Buenos Aires","Moderna Bivariante BA 4 5",0,0,0,0,38441
"06","Buenos Aires","Pfizer BioNTech Comirnaty",0,1374209,1452266,77612,5406073
"06","Buenos Aires","Pfizer Bivariante BA 4 5",0,0,0,0,202864
"06","Buenos Aires","Pfizer Pediátrica",0,20642,10724,141155,1973
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",0,5956654,5270204,1662,12388
"06","Buenos Aires","Sputnik Light",265,0,673,0,4114
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",0,4315831,2693180,6256,859734
"02","CABA","AstraZeneca ChAdOx1 S recombinante",0,728388,763032,204550,506932
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",0,65727,197,0,0
"02","CABA","Cansino Ad5 nCoV",29924,0,1673,44,51051
"02","CABA","Moderna 010 mg mL",0,15329,8446,0,60992
"02","CABA","Moderna ARNm 020 mg mL",0,36652,280011,1489,2064247
"02","CABA","Moderna Bivariante BA 4 5",0,0,1,0,1473
"02","CABA","Pfizer BioNTech Comirnaty",0,193583,220449,62872,1286100
"02","CABA","Pfizer Bivariante BA 4 5",0,0,2,0,163684
"02","CABA","Pfizer Pediátrica",0,2888,2052,1672,89245
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",0,1019351,968114,1664,5430
"02","CABA","Sputnik Light",122,0,208,0,65
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",0,896673,627499,231,14079
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",0,86669,86599,18029,59904
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",0,4821,13,0,0
"10","Catamarca","Cansino Ad5 nCoV",2585,0,1048,328,48534
"10","Catamarca","Moderna 010 mg mL",0,5493,2697,0,12327
"10","Catamarca","Moderna ARNm 020 mg mL",0,7721,24265,403,140605
"10","Catamarca","Moderna Bivariante BA 4 5",0,57,12,0,2951
"10","Catamarca","Pfizer BioNTech Comirnaty",0,33581,30808,863,96618
"10","Catamarca","Pfizer Bivariante BA 4 5",0,0,2,0,7887
